[21.10.2014 0:43:39] Error:No connection available to the PLC  (4808)
[21.10.2014 0:43:34] PVI service connected
[21.10.2014 0:42:05] Error:No connection available to the PLC  (4808)
[21.10.2014 0:42:00] PVI service connected
[21.10.2014 0:40:36] Error:No connection available to the PLC  (4808)
[21.10.2014 0:40:24] PVI service connected
[21.10.2014 0:38:41] Error:No connection available to the PLC  (4808)
[21.10.2014 0:38:41] PVI service connected
[21.10.2014 0:36:05] Error:No connection available to the PLC  (4808)
[21.10.2014 0:35:57] PVI service connected
[21.10.2014 0:22:16] Error:No connection available to the PLC  (4808)
[21.10.2014 0:22:11] PVI service connected
[21.10.2014 0:10:48] Error:No connection available to the PLC  (4808)
[21.10.2014 0:10:42] PVI service connected
[21.10.2014 0:10:42] PVI service connecting ...
[21.10.2014 0:10:42] PVI service connecting ...
[21.10.2014 0:10:42] PVI CPU connecting ...
[21.10.2014 0:22:10] PVI service connecting ...
[21.10.2014 0:22:11] PVI CPU connecting ...
[21.10.2014 0:35:56] PVI service connecting ...
[21.10.2014 0:35:57] PVI CPU connecting ...
[21.10.2014 0:38:40] PVI service connecting ...
[21.10.2014 0:38:41] PVI CPU connecting ...
[21.10.2014 0:40:23] PVI service connecting ...
[21.10.2014 0:40:24] PVI CPU connecting ...
[21.10.2014 0:41:59] PVI service connecting ...
[21.10.2014 0:42:00] PVI CPU connecting ...
[21.10.2014 0:43:34] PVI service connecting ...
[21.10.2014 0:43:34] PVI CPU connecting ...
